COUNTRY,YEAR,IndicatorCode,NumericValue
LKA,2020,CHILDMORT10TO19,2.2012
GRD,1995,CHILDMORT10TO19,4.98875
SGP,1990,CHILDMORT10TO19,4.87658
CAN,2007,CHILDMORT10TO19,2.13111
GNQ,2017,CHILDMORT10TO19,17.32512
GLOBAL,2000,CHILDMORT10TO19,10.50161
MLT,2017,CHILDMORT10TO19,1.66799
SDN,2018,CHILDMORT10TO19,16.39313
FSM,1994,CHILDMORT10TO19,7.54041
ECU,2012,CHILDMORT10TO19,4.34512
JOR,1992,CHILDMORT10TO19,8.38121
CYP,2015,CHILDMORT10TO19,1.28032
MLI,2014,CHILDMORT10TO19,8.81794
SUR,2017,CHILDMORT10TO19,1.71038
BLR,2019,CHILDMORT10TO19,2.27753
UKR,2000,CHILDMORT10TO19,4.50527
LBY,1997,CHILDMORT10TO19,2.59508
THA,1992,CHILDMORT10TO19,2.17273
AFR,1994,CHILDMORT10TO19,12.74174
GHA,2020,CHILDMORT10TO19,7.23241
FRA,2009,CHILDMORT10TO19,0.83378
PAK,2014,CHILDMORT10TO19,3.97435
IRQ,2002,CHILDMORT10TO19,3.69916
KHM,1995,CHILDMORT10TO19,13.51318
EMR,1998,CHILDMORT10TO19,12.11227
IRN,1995,CHILDMORT10TO19,2.80703
GAB,2005,CHILDMORT10TO19,19.28076
LKA,2002,CHILDMORT10TO19,4.85802
LSO,2003,CHILDMORT10TO19,19.42573
MSR,1997,CHILDMORT10TO19,1.34028
NAM,1994,CHILDMORT10TO19,4.95737
EMR,2015,CHILDMORT10TO19,11.38273
MDA,1997,CHILDMORT10TO19,2.75341
SMR,2016,CHILDMORT10TO19,1.05926
HTI,1993,CHILDMORT10TO19,14.38847
AFR,2014,CHILDMORT10TO19,9.83642
SRB,1996,CHILDMORT10TO19,1.27536
BRA,2019,CHILDMORT10TO19,3.19302
RWA,2021,CHILDMORT10TO19,4.61676
MHL,1996,CHILDMORT10TO19,2.83883
THA,2011,CHILDMORT10TO19,1.96652
JOR,1990,CHILDMORT10TO19,6.54096
NIU,2014,CHILDMORT10TO19,2.13907
UGA,2001,CHILDMORT10TO19,7.52592
AND,2019,CHILDMORT10TO19,0.63983
KOR,1990,CHILDMORT10TO19,2.27539
SAU,2017,CHILDMORT10TO19,1.10297
ESP,2014,CHILDMORT10TO19,1.02093
NRU,2017,CHILDMORT10TO19,10.73722
MDG,2002,CHILDMORT10TO19,8.39674
VGB,2008,CHILDMORT10TO19,7.35485
TKM,2018,CHILDMORT10TO19,5.03407
AMR,2015,CHILDMORT10TO19,2.2404
LAO,1990,CHILDMORT10TO19,10.96631
BDI,2004,CHILDMORT10TO19,15.94597
ATG,2013,CHILDMORT10TO19,5.95823
GBR,2000,CHILDMORT10TO19,3.73039
TLS,2021,CHILDMORT10TO19,21.79166
MSR,2007,CHILDMORT10TO19,2.29968
QAT,1994,CHILDMORT10TO19,1.35421
AMR,2010,CHILDMORT10TO19,4.7055
CHL,2009,CHILDMORT10TO19,1.49127
BLZ,2018,CHILDMORT10TO19,4.44347
TTO,2004,CHILDMORT10TO19,2.08808
RWA,1994,CHILDMORT10TO19,154.75426
TZA,2007,CHILDMORT10TO19,9.754
KNA,1993,CHILDMORT10TO19,2.8898
LBR,2010,CHILDMORT10TO19,13.38092
SYC,2007,CHILDMORT10TO19,2.89775
VUT,1995,CHILDMORT10TO19,7.08835
CIV,2012,CHILDMORT10TO19,23.52324
LCA,1997,CHILDMORT10TO19,1.8814
IRQ,2000,CHILDMORT10TO19,3.78563
ARM,1995,CHILDMORT10TO19,5.59324
LBN,1991,CHILDMORT10TO19,3.32516
CUB,2014,CHILDMORT10TO19,3.00561
LTU,2000,CHILDMORT10TO19,2.30994
MWI,2019,CHILDMORT10TO19,9.17629
TON,2001,CHILDMORT10TO19,2.35104
VGB,2003,CHILDMORT10TO19,1.24077
TLS,2016,CHILDMORT10TO19,11.87316
JOR,2014,CHILDMORT10TO19,4.60227
ARE,2021,CHILDMORT10TO19,0.86354
MAR,1997,CHILDMORT10TO19,4.21528
PSE,2016,CHILDMORT10TO19,1.94241
SEAR,2012,CHILDMORT10TO19,3.38147
DOM,2009,CHILDMORT10TO19,1.52957
TCD,2015,CHILDMORT10TO19,17.57497
AUS,2018,CHILDMORT10TO19,0.49127
CIV,2017,CHILDMORT10TO19,21.62286
TUR,1999,CHILDMORT10TO19,6.35152
ATG,1994,CHILDMORT10TO19,3.56655
SWZ,2000,CHILDMORT10TO19,10.29164
RWA,2015,CHILDMORT10TO19,13.30942
BIH,2009,CHILDMORT10TO19,1.56006
ROU,2017,CHILDMORT10TO19,2.17385
BRA,1998,CHILDMORT10TO19,5.42477
