COUNTRY,YEAR,IndicatorCode,NumericValue
IDN,2021,AMR_INFECT_ECOLI,71.1
MMR,2019,AMR_INFECT_ECOLI,77.78
THA,2022,AMR_INFECT_ECOLI,33.77
CYP,2017,AMR_INFECT_ECOLI,30.8
KWT,2020,AMR_INFECT_ECOLI,51.28
EST,2022,AMR_INFECT_ECOLI,11.57
SGP,2021,AMR_INFECT_ECOLI,25.83
DNK,2020,AMR_INFECT_ECOLI,7.27
TZA,2021,AMR_INFECT_ECOLI,77.98
SWE,2023,AMR_INFECT_ECOLI,7.92
COD,2022,AMR_INFECT_ECOLI,72.55
NLD,2023,AMR_INFECT_ECOLI,8.14
TTO,2021,AMR_INFECT_ECOLI,27.78
IRL,2020,AMR_INFECT_ECOLI,10.64
BRA,2023,AMR_INFECT_ECOLI,34.38
NAM,2022,AMR_INFECT_ECOLI,18.18
POL,2019,AMR_INFECT_ECOLI,18.02
KHM,2020,AMR_INFECT_ECOLI,73.72
SAU,2017,AMR_INFECT_ECOLI,50.85
HRV,2019,AMR_INFECT_ECOLI,15.58
RUS,2021,AMR_INFECT_ECOLI,58.47
CHE,2019,AMR_INFECT_ECOLI,10.27
LBN,2022,AMR_INFECT_ECOLI,37.22
ZAF,2018,AMR_INFECT_ECOLI,30.45
PHL,2019,AMR_INFECT_ECOLI,39.93
NOR,2017,AMR_INFECT_ECOLI,5.87
PAK,2020,AMR_INFECT_ECOLI,82.29
MUS,2023,AMR_INFECT_ECOLI,58.84
MWI,2016,AMR_INFECT_ECOLI,78.52
PSE,2020,AMR_INFECT_ECOLI,47.37
GEO,2021,AMR_INFECT_ECOLI,35.37
POL,2020,AMR_INFECT_ECOLI,17.51
CHE,2018,AMR_INFECT_ECOLI,10.38
JPN,2019,AMR_INFECT_ECOLI,20.95
AUT,2023,AMR_INFECT_ECOLI,16.14
CYP,2021,AMR_INFECT_ECOLI,41.03
SGP,2022,AMR_INFECT_ECOLI,25.53
PER,2022,AMR_INFECT_ECOLI,76.67
CHE,2023,AMR_INFECT_ECOLI,10.95
GEO,2018,AMR_INFECT_ECOLI,55.77
ETH,2018,AMR_INFECT_ECOLI,100.0
KEN,2022,AMR_INFECT_ECOLI,63.64
MKD,2020,AMR_INFECT_ECOLI,85.71
HRV,2022,AMR_INFECT_ECOLI,16.45
DEU,2020,AMR_INFECT_ECOLI,10.2
OMN,2021,AMR_INFECT_ECOLI,63.92
MLI,2018,AMR_INFECT_ECOLI,32.05
UKR,2021,AMR_INFECT_ECOLI,60.0
MLT,2018,AMR_INFECT_ECOLI,16.37
THA,2023,AMR_INFECT_ECOLI,38.67
MUS,2022,AMR_INFECT_ECOLI,60.43
TUN,2023,AMR_INFECT_ECOLI,26.09
BHR,2019,AMR_INFECT_ECOLI,53.81
NPL,2021,AMR_INFECT_ECOLI,80.39
NOR,2020,AMR_INFECT_ECOLI,5.33
HRV,2023,AMR_INFECT_ECOLI,21.52
IND,2018,AMR_INFECT_ECOLI,78.83
LUX,2020,AMR_INFECT_ECOLI,10.75
POL,2017,AMR_INFECT_ECOLI,16.68
XKX,2022,AMR_INFECT_ECOLI,38.46
HKG,2022,AMR_INFECT_ECOLI,30.08
COL,2022,AMR_INFECT_ECOLI,25.63
ISL,2023,AMR_INFECT_ECOLI,12.02
UGA,2021,AMR_INFECT_ECOLI,80.0
PER,2021,AMR_INFECT_ECOLI,58.73
GBR,2021,AMR_INFECT_ECOLI,10.68
PER,2020,AMR_INFECT_ECOLI,71.7
CZE,2020,AMR_INFECT_ECOLI,13.09
JOR,2020,AMR_INFECT_ECOLI,64.52
MUS,2021,AMR_INFECT_ECOLI,52.68
NOR,2023,AMR_INFECT_ECOLI,5.68
IND,2019,AMR_INFECT_ECOLI,80.81
MLI,2022,AMR_INFECT_ECOLI,60.87
GLOBAL,2021,AMR_INFECT_ECOLI,41.0
FIN,2022,AMR_INFECT_ECOLI,6.67
JPN,2017,AMR_INFECT_ECOLI,19.62
NGA,2023,AMR_INFECT_ECOLI,72.73
SGP,2020,AMR_INFECT_ECOLI,30.48
FRA,2018,AMR_INFECT_ECOLI,9.59
SWE,2021,AMR_INFECT_ECOLI,6.99
TUN,2016,AMR_INFECT_ECOLI,25.46
GLOBAL,2019,AMR_INFECT_ECOLI,36.6
PAK,2021,AMR_INFECT_ECOLI,85.16
MWI,2017,AMR_INFECT_ECOLI,71.91
ARG,2022,AMR_INFECT_ECOLI,22.47
HRV,2020,AMR_INFECT_ECOLI,18.24
BRA,2022,AMR_INFECT_ECOLI,36.26
PSE,2019,AMR_INFECT_ECOLI,44.22
MLT,2019,AMR_INFECT_ECOLI,18.16
ZMB,2017,AMR_INFECT_ECOLI,51.52
IRN,2019,AMR_INFECT_ECOLI,70.32
AUT,2020,AMR_INFECT_ECOLI,9.43
RUS,2019,AMR_INFECT_ECOLI,58.26
NOR,2019,AMR_INFECT_ECOLI,5.52
GHA,2021,AMR_INFECT_ECOLI,77.78
GRC,2022,AMR_INFECT_ECOLI,24.01
SYR,2022,AMR_INFECT_ECOLI,78.57
KEN,2023,AMR_INFECT_ECOLI,77.21
SAU,2021,AMR_INFECT_ECOLI,52.97
MDA,2022,AMR_INFECT_ECOLI,71.88
AUT,2018,AMR_INFECT_ECOLI,10.2
LTU,2023,AMR_INFECT_ECOLI,17.19
BIH,2016,AMR_INFECT_ECOLI,22.7
ITA,2019,AMR_INFECT_ECOLI,33.61
UGA,2019,AMR_INFECT_ECOLI,60.0
LUX,2021,AMR_INFECT_ECOLI,11.34
ZMB,2021,AMR_INFECT_ECOLI,88.71
JOR,2021,AMR_INFECT_ECOLI,60.42
ARG,2019,AMR_INFECT_ECOLI,18.98
SAU,2020,AMR_INFECT_ECOLI,58.27
BHR,2023,AMR_INFECT_ECOLI,57.14
YEM,2022,AMR_INFECT_ECOLI,90.36
BFA,2021,AMR_INFECT_ECOLI,80.77
LKA,2022,AMR_INFECT_ECOLI,58.76
OMN,2022,AMR_INFECT_ECOLI,78.16
PNG,2023,AMR_INFECT_ECOLI,35.71
IDN,2018,AMR_INFECT_ECOLI,71.88
MWI,2020,AMR_INFECT_ECOLI,56.46
HKG,2023,AMR_INFECT_ECOLI,30.53
GLOBAL,2017,AMR_INFECT_ECOLI,29.1
GEO,2022,AMR_INFECT_ECOLI,46.45
PHL,2018,AMR_INFECT_ECOLI,36.03
ETH,2021,AMR_INFECT_ECOLI,86.21
QAT,2023,AMR_INFECT_ECOLI,46.72
THA,2016,AMR_INFECT_ECOLI,40.29
GHA,2023,AMR_INFECT_ECOLI,90.63
ARE,2020,AMR_INFECT_ECOLI,54.08
TUR,2023,AMR_INFECT_ECOLI,56.42
GLOBAL,2016,AMR_INFECT_ECOLI,35.8
QAT,2020,AMR_INFECT_ECOLI,40.0
BGD,2018,AMR_INFECT_ECOLI,70.0
LTU,2019,AMR_INFECT_ECOLI,17.53
NPL,2023,AMR_INFECT_ECOLI,77.42
IRL,2019,AMR_INFECT_ECOLI,12.53
TUR,2022,AMR_INFECT_ECOLI,52.18
ZAF,2022,AMR_INFECT_ECOLI,30.04
BGD,2023,AMR_INFECT_ECOLI,79.17
OMN,2018,AMR_INFECT_ECOLI,52.28
MLT,2017,AMR_INFECT_ECOLI,15.89
DEU,2021,AMR_INFECT_ECOLI,8.96
KOR,2021,AMR_INFECT_ECOLI,36.63
TLS,2023,AMR_INFECT_ECOLI,30.43
BHR,2021,AMR_INFECT_ECOLI,57.81
JPN,2023,AMR_INFECT_ECOLI,20.26
SAU,2019,AMR_INFECT_ECOLI,57.26
UKR,2022,AMR_INFECT_ECOLI,54.55
GEO,2023,AMR_INFECT_ECOLI,43.59
AUS,2023,AMR_INFECT_ECOLI,12.4
LTU,2018,AMR_INFECT_ECOLI,15.33
GEO,2019,AMR_INFECT_ECOLI,56.58
FIN,2020,AMR_INFECT_ECOLI,6.62
MMR,2020,AMR_INFECT_ECOLI,80.56
SWE,2019,AMR_INFECT_ECOLI,7.62
MAR,2022,AMR_INFECT_ECOLI,46.07
HRV,2018,AMR_INFECT_ECOLI,14.8
JPN,2016,AMR_INFECT_ECOLI,18.94
IDN,2022,AMR_INFECT_ECOLI,69.73
JOR,2023,AMR_INFECT_ECOLI,67.05
MYS,2020,AMR_INFECT_ECOLI,25.79
IRQ,2021,AMR_INFECT_ECOLI,85.51
BIH,2023,AMR_INFECT_ECOLI,22.29
ITA,2021,AMR_INFECT_ECOLI,24.6
ITA,2020,AMR_INFECT_ECOLI,28.66
LKA,2019,AMR_INFECT_ECOLI,63.0
BHR,2017,AMR_INFECT_ECOLI,50.0
AUS,2021,AMR_INFECT_ECOLI,12.46
EGY,2022,AMR_INFECT_ECOLI,87.5
FRA,2022,AMR_INFECT_ECOLI,9.13
LBN,2019,AMR_INFECT_ECOLI,55.33
BRN,2021,AMR_INFECT_ECOLI,12.58
ZMB,2022,AMR_INFECT_ECOLI,76.47
CYP,2018,AMR_INFECT_ECOLI,37.1
JPN,2022,AMR_INFECT_ECOLI,20.39
MKD,2021,AMR_INFECT_ECOLI,51.22
PHL,2017,AMR_INFECT_ECOLI,39.56
IRQ,2022,AMR_INFECT_ECOLI,85.71
MDV,2018,AMR_INFECT_ECOLI,62.96
LVA,2019,AMR_INFECT_ECOLI,18.08
FIN,2023,AMR_INFECT_ECOLI,8.7
BEN,2022,AMR_INFECT_ECOLI,73.08
TUN,2017,AMR_INFECT_ECOLI,35.9
SWE,2020,AMR_INFECT_ECOLI,7.68
CIV,2023,AMR_INFECT_ECOLI,75.0
LVA,2020,AMR_INFECT_ECOLI,33.33
PER,2023,AMR_INFECT_ECOLI,63.43
CHE,2020,AMR_INFECT_ECOLI,11.09
