COUNTRY,YEAR,IndicatorCode,NumericValue
RWA,2017,ANC_ATLEAST1VISIT_PERCENT,97.6
TUV,2020,ANC_ATLEAST1VISIT_PERCENT,93.9
CIV,2016,ANC_ATLEAST1VISIT_PERCENT,93.2
BRA,2015,ANC_ATLEAST1VISIT_PERCENT,97.2
MDG,2018,ANC_ATLEAST1VISIT_PERCENT,85.1
GAB,2021,ANC_ATLEAST1VISIT_PERCENT,97.1
SOM,2019,ANC_ATLEAST1VISIT_PERCENT,31.1
MDG,2021,ANC_ATLEAST1VISIT_PERCENT,88.9
TGO,2017,ANC_ATLEAST1VISIT_PERCENT,77.9
LSO,2018,ANC_ATLEAST1VISIT_PERCENT,91.3
COL,2016,ANC_ATLEAST1VISIT_PERCENT,97.2
PNG,2018,ANC_ATLEAST1VISIT_PERCENT,76.1
SLE,2017,ANC_ATLEAST1VISIT_PERCENT,97.4
MWI,2014,ANC_ATLEAST1VISIT_PERCENT,96.1
PRY,2016,ANC_ATLEAST1VISIT_PERCENT,98.7
GNB,2019,ANC_ATLEAST1VISIT_PERCENT,97.0
BLZ,2016,ANC_ATLEAST1VISIT_PERCENT,97.2
ARG,2020,ANC_ATLEAST1VISIT_PERCENT,95.0
RWA,2015,ANC_ATLEAST1VISIT_PERCENT,99.0
KGZ,2018,ANC_ATLEAST1VISIT_PERCENT,99.8
VNM,2021,ANC_ATLEAST1VISIT_PERCENT,97.0
DOM,2014,ANC_ATLEAST1VISIT_PERCENT,98.0
UZB,2014,ANC_ATLEAST1VISIT_PERCENT,99.8
PER,2021,ANC_ATLEAST1VISIT_PERCENT,98.3
TCA,2020,ANC_ATLEAST1VISIT_PERCENT,97.3
ROU,2020,ANC_ATLEAST1VISIT_PERCENT,72.3
NPL,2016,ANC_ATLEAST1VISIT_PERCENT,83.6
GMB,2020,ANC_ATLEAST1VISIT_PERCENT,97.8
LSO,2014,ANC_ATLEAST1VISIT_PERCENT,95.2
STP,2014,ANC_ATLEAST1VISIT_PERCENT,97.5
VNM,2014,ANC_ATLEAST1VISIT_PERCENT,95.8
MMR,2016,ANC_ATLEAST1VISIT_PERCENT,80.7
LKA,2014,ANC_ATLEAST1VISIT_PERCENT,95.5
PAK,2019,ANC_ATLEAST1VISIT_PERCENT,91.2
AFG,2014,ANC_ATLEAST1VISIT_PERCENT,63.2
PHL,2017,ANC_ATLEAST1VISIT_PERCENT,93.8
BDI,2017,ANC_ATLEAST1VISIT_PERCENT,99.2
KHM,2022,ANC_ATLEAST1VISIT_PERCENT,98.7
SEN,2017,ANC_ATLEAST1VISIT_PERCENT,97.1
LAO,2017,ANC_ATLEAST1VISIT_PERCENT,78.4
MWI,2016,ANC_ATLEAST1VISIT_PERCENT,94.8
PSE,2014,ANC_ATLEAST1VISIT_PERCENT,99.4
ROU,2014,ANC_ATLEAST1VISIT_PERCENT,75.2
TZA,2016,ANC_ATLEAST1VISIT_PERCENT,98.0
SLE,2019,ANC_ATLEAST1VISIT_PERCENT,97.9
GNB,2014,ANC_ATLEAST1VISIT_PERCENT,92.4
GHA,2019,ANC_ATLEAST1VISIT_PERCENT,97.4
GHA,2022,ANC_ATLEAST1VISIT_PERCENT,97.8
JOR,2018,ANC_ATLEAST1VISIT_PERCENT,97.6
CHN,2015,ANC_ATLEAST1VISIT_PERCENT,96.5
IND,2021,ANC_ATLEAST1VISIT_PERCENT,85.1
SWZ,2022,ANC_ATLEAST1VISIT_PERCENT,98.6
GTM,2015,ANC_ATLEAST1VISIT_PERCENT,91.3
CHN,2014,ANC_ATLEAST1VISIT_PERCENT,96.2
TUR,2018,ANC_ATLEAST1VISIT_PERCENT,96.4
TUN,2018,ANC_ATLEAST1VISIT_PERCENT,95.3
TGO,2014,ANC_ATLEAST1VISIT_PERCENT,72.7
PER,2019,ANC_ATLEAST1VISIT_PERCENT,98.2
ETH,2014,ANC_ATLEAST1VISIT_PERCENT,41.2
PER,2020,ANC_ATLEAST1VISIT_PERCENT,98.1
FJI,2021,ANC_ATLEAST1VISIT_PERCENT,97.7
MNG,2014,ANC_ATLEAST1VISIT_PERCENT,98.7
TKM,2016,ANC_ATLEAST1VISIT_PERCENT,99.6
SEN,2019,ANC_ATLEAST1VISIT_PERCENT,97.6
ZMB,2019,ANC_ATLEAST1VISIT_PERCENT,96.9
HRV,2021,ANC_ATLEAST1VISIT_PERCENT,98.4
ZWE,2019,ANC_ATLEAST1VISIT_PERCENT,93.3
CHN,2018,ANC_ATLEAST1VISIT_PERCENT,99.2
NPL,2019,ANC_ATLEAST1VISIT_PERCENT,88.8
COG,2015,ANC_ATLEAST1VISIT_PERCENT,93.5
SEN,2018,ANC_ATLEAST1VISIT_PERCENT,97.7
JOR,2022,ANC_ATLEAST1VISIT_PERCENT,97.0
NPL,2022,ANC_ATLEAST1VISIT_PERCENT,94.3
MRT,2015,ANC_ATLEAST1VISIT_PERCENT,86.9
MOZ,2015,ANC_ATLEAST1VISIT_PERCENT,87.2
BGD,2018,ANC_ATLEAST1VISIT_PERCENT,81.9
ZWE,2014,ANC_ATLEAST1VISIT_PERCENT,93.7
PER,2015,ANC_ATLEAST1VISIT_PERCENT,97.0
SAU,2019,ANC_ATLEAST1VISIT_PERCENT,94.6
AFG,2015,ANC_ATLEAST1VISIT_PERCENT,58.6
WSM,2014,ANC_ATLEAST1VISIT_PERCENT,93.3
CMR,2018,ANC_ATLEAST1VISIT_PERCENT,87.0
EGY,2021,ANC_ATLEAST1VISIT_PERCENT,96.5
KIR,2019,ANC_ATLEAST1VISIT_PERCENT,89.2
GIN,2021,ANC_ATLEAST1VISIT_PERCENT,86.0
MRT,2021,ANC_ATLEAST1VISIT_PERCENT,85.0
CMR,2014,ANC_ATLEAST1VISIT_PERCENT,82.8
AFG,2023,ANC_ATLEAST1VISIT_PERCENT,76.4
MLI,2015,ANC_ATLEAST1VISIT_PERCENT,42.1
UGA,2016,ANC_ATLEAST1VISIT_PERCENT,97.3
BLR,2019,ANC_ATLEAST1VISIT_PERCENT,99.9
YEM,2023,ANC_ATLEAST1VISIT_PERCENT,69.5
MEX,2015,ANC_ATLEAST1VISIT_PERCENT,98.5
OMN,2014,ANC_ATLEAST1VISIT_PERCENT,98.6
SRB,2019,ANC_ATLEAST1VISIT_PERCENT,99.4
KEN,2015,ANC_ATLEAST1VISIT_PERCENT,93.7
UGA,2018,ANC_ATLEAST1VISIT_PERCENT,95.1
SRB,2014,ANC_ATLEAST1VISIT_PERCENT,98.3
LBR,2020,ANC_ATLEAST1VISIT_PERCENT,97.8
KGZ,2020,ANC_ATLEAST1VISIT_PERCENT,100.0
BEN,2014,ANC_ATLEAST1VISIT_PERCENT,82.8
KEN,2022,ANC_ATLEAST1VISIT_PERCENT,97.9
ROU,2018,ANC_ATLEAST1VISIT_PERCENT,70.2
SLV,2014,ANC_ATLEAST1VISIT_PERCENT,96.0
THA,2016,ANC_ATLEAST1VISIT_PERCENT,98.1
COM,2022,ANC_ATLEAST1VISIT_PERCENT,94.6
CRI,2018,ANC_ATLEAST1VISIT_PERCENT,97.6
IND,2016,ANC_ATLEAST1VISIT_PERCENT,79.3
RWA,2020,ANC_ATLEAST1VISIT_PERCENT,97.7
SDN,2014,ANC_ATLEAST1VISIT_PERCENT,79.1
ROU,2017,ANC_ATLEAST1VISIT_PERCENT,72.2
GMB,2018,ANC_ATLEAST1VISIT_PERCENT,99.0
PER,2017,ANC_ATLEAST1VISIT_PERCENT,97.5
CIV,2021,ANC_ATLEAST1VISIT_PERCENT,95.2
ZWE,2015,ANC_ATLEAST1VISIT_PERCENT,93.3
COD,2014,ANC_ATLEAST1VISIT_PERCENT,88.4
MLI,2021,ANC_ATLEAST1VISIT_PERCENT,84.2
GIN,2016,ANC_ATLEAST1VISIT_PERCENT,84.3
SUR,2018,ANC_ATLEAST1VISIT_PERCENT,84.8
TLS,2016,ANC_ATLEAST1VISIT_PERCENT,84.4
ALB,2018,ANC_ATLEAST1VISIT_PERCENT,88.4
WSM,2020,ANC_ATLEAST1VISIT_PERCENT,94.1
